Country,Annual_CO2_emissions,GDP_PPP,Population,Code,Continent
Afghanistan,12160286.0,76710641664.0,39074280,AFG,Asia
Albania,4534673.0,37436768256.0,2877239,ALB,Europe
Algeria,154995460.0,471000000000.0,43984569,DZA,Africa
Andorra,466294.0,,77287,AND,Europe
Angola,22198161.0,201000000000.0,33032075,AGO,Africa
Anguilla,123426.0,,15026,AIA,North America
Antigua and Barbuda,430410.0,1693498496.0,98069,ATG,North America
Argentina,156978063.0,893000000000.0,45267449,ARG,South America
Armenia,5890292.0,37395693568.0,2964219,ARM,Asia
Aruba,753218.0,,106845,ABW,North America
Australia,391891928.0,1250000000000.0,25550683,AUS,Oceania
Austria,60634876.0,462000000000.0,9015361,AUT,Europe
Azerbaijan,37720462.0,139000000000.0,10154978,AZE,Asia
Bahamas,2337684.0,12130357248.0,393893,BHS,North America
Bahrain,34960075.0,70582648832.0,1711057,BHR,Asia
Bangladesh,92841625.0,802000000000.0,164972348,BGD,Asia
Barbados,1086743.0,3636795136.0,287437,BRB,North America
Belarus,57445417.0,180000000000.0,9448772,BLR,Europe
Belgium,83748962.0,563000000000.0,11598451,BEL,Europe
Belize,582795.0,2434173440.0,398845,BLZ,North America
Benin,6702765.0,40287137792.0,12175480,BEN,Africa
Bermuda,624448.0,4896665088.0,62237,BMU,North America
Bhutan,1925367.0,8141626880.0,773069,BTN,Asia
Bosnia and Herzegovina,21417961.0,47602216960.0,3277152,BIH,Europe
Botswana,6518934.0,34462244864.0,2359585,BWA,Africa
Brazil,467383500.0,2990000000000.0,212821986,BRA,South America
Bulgaria,37444110.0,155000000000.0,6939018,BGR,Europe
Burkina Faso,3969636.0,45062647808.0,20997293,BFA,Africa
Burundi,602181.0,8692913152.0,11948454,BDI,Africa
Cambodia,15325618.0,70078676992.0,16758448,KHM,Asia
Cameroon,6889318.0,97328037888.0,26655083,CMR,Africa
Canada,535822990.0,1750000000000.0,37799407,CAN,North America
Cayman Islands,,4460494848.0,65854,CYM,North America
Central African Republic,187906.0,4522048000.0,4843954,CAF,Africa
Chad,912301.0,24951484416.0,16502877,TCD,Africa
Chile,81171490.0,446000000000.0,19144605,CHL,South America
China,10667887453.0,23000000000000.0,1440297825,CHN,Asia
Colombia,89104941.0,684000000000.0,50976248,COL,South America
Comoros,258456.0,2599367680.0,872695,COM,Africa
Congo,3116760.0,18948900864.0,5540555,COG,Africa
Cook Islands,79423.0,,17567,COK,Oceania
Costa Rica,7907389.0,101000000000.0,5102158,CRI,North America
Croatia,16982010.0,110000000000.0,4100719,HRV,Europe
Cuba,20152280.0,,11325391,CUB,North America
Cyprus,6496162.0,34705469440.0,1208886,CYP,Asia
Denmark,26194912.0,326000000000.0,5795780,DNK,Europe
Djibouti,351464.0,5415352320.0,990447,DJI,Africa
Dominica,139250.0,740705856.0,72017,DMA,North America
Dominican Republic,27769310.0,184000000000.0,10866667,DOM,North America
Ecuador,30931763.0,182000000000.0,17688599,ECU,South America
Egypt,213456746.0,1220000000000.0,102659126,EGY,Africa
El Salvador,6123716.0,51776917504.0,6491923,SLV,North America
Equatorial Guinea,10265267.0,23861442560.0,1410419,GNQ,Africa
Eritrea,722332.0,,3554797,ERI,Africa
Estonia,10452414.0,46873657344.0,1326693,EST,Europe
Ethiopia,14664773.0,264000000000.0,115434444,ETH,Africa
Fiji,1393413.0,10264956928.0,897573,FJI,Oceania
Finland,39287631.0,261000000000.0,5542237,FIN,Europe
France,276633893.0,2850000000000.0,65298930,FRA,Europe
French Guiana,728379.0,,299958,GUF,South America
French Polynesia,828267.0,,281191,PYF,Oceania
Gabon,4298177.0,31874304000.0,2234448,GAB,Africa
Gambia,499912.0,5212151296.0,2427782,GMB,Africa
Georgia,9968094.0,51992666112.0,3987805,GEO,Asia
Germany,644310352.0,4280000000000.0,83830972,DEU,Europe
Ghana,16001330.0,169000000000.0,31181428,GHA,Africa
Greece,52235141.0,290000000000.0,10413936,GRC,Europe
Greenland,514413.0,,56787,GRL,North America
Grenada,294834.0,1630235136.0,112614,GRD,North America
Guadeloupe,2561883.0,,400136,GLP,North America
Guatemala,18937908.0,141000000000.0,17971382,GTM,North America
Guinea,3394049.0,35075366912.0,13191279,GIN,Africa
Guinea-Bissau,286774.0,3635809024.0,1975718,GNB,Africa
Guyana,2212691.0,14692887552.0,787215,GUY,South America
Haiti,2919510.0,33457836032.0,11426356,HTI,North America
Honduras,9659570.0,50893692928.0,9931333,HND,North America
Hungary,48275451.0,303000000000.0,9655983,HUN,Europe
Iceland,2935990.0,19193749504.0,341628,ISL,Europe
India,2441792313.0,8510000000000.0,1382345085,IND,Asia
Indonesia,589500368.0,3130000000000.0,274021604,IDN,Asia
Iraq,210829146.0,363000000000.0,40372771,IRQ,Asia
Ireland,33348699.0,453000000000.0,4947267,IRL,Europe
Israel,56350861.0,360000000000.0,8678517,ISR,Asia
Italy,303815294.0,2320000000000.0,60446035,ITA,Europe
Jamaica,7429454.0,25942788096.0,2963429,JAM,North America
Japan,1030775384.0,5060000000000.0,126407422,JPN,Asia
Jordan,25487430.0,100000000000.0,10220604,JOR,Asia
Kazakhstan,291335929.0,476000000000.0,18815231,KAZ,Asia
Kenya,16146074.0,233000000000.0,53968739,KEN,Africa
Kiribati,68077.0,269887968.0,119760,KIR,Oceania
Kuwait,88935077.0,192000000000.0,4281320,KWT,Asia
Kyrgyzstan,11507817.0,31023828992.0,6542426,KGZ,Asia
Latvia,6772778.0,57204027392.0,1882408,LVA,Europe
Lebanon,25969298.0,78413512704.0,6819976,LBN,Asia
Lesotho,2183421.0,4963571712.0,2145194,LSO,Africa
Liberia,1008984.0,7040310784.0,5077411,LBR,Africa
Libya,50720577.0,70652575744.0,6887247,LBY,Africa
Liechtenstein,141012.0,,38147,LIE,Europe
Lithuania,13799480.0,104000000000.0,2715340,LTU,Europe
Luxembourg,8174648.0,70958268416.0,627704,LUX,Europe
Madagascar,3679618.0,40535912448.0,27808395,MDG,Africa
Malawi,1394983.0,28864096256.0,19211425,MWI,Africa
Malaysia,272607434.0,857000000000.0,32436963,MYS,Asia
Maldives,1796469.0,6888899584.0,542151,MDV,Asia
Mali,3390011.0,45076213760.0,20346106,MLI,Africa
Malta,1594903.0,20602818560.0,441750,MLT,Europe
Marshall Islands,151282.0,232765488.0,59259,MHL,Oceania
Martinique,2348393.0,,375213,MTQ,North America
Mauritania,3377180.0,23758856192.0,4669775,MRT,Africa
Mauritius,3979358.0,24635011072.0,1272140,MUS,Africa
Mayotte,305584.0,,273905,MYT,Africa
Mexico,356968119.0,2300000000000.0,129166028,MEX,North America
Mongolia,88441761.0,38434279424.0,3287242,MNG,Asia
Montenegro,2309894.0,11344395264.0,628080,MNE,Europe
Montserrat,25318.0,,4993,MSR,North America
Morocco,64536253.0,262000000000.0,36985624,MAR,Africa
Mozambique,6570936.0,38442319872.0,31398811,MOZ,Africa
Myanmar,36325546.0,264000000000.0,54473253,MMR,Asia
Namibia,3877243.0,22397138944.0,2548663,NAM,Africa
Nauru,56731.0,147282736.0,10836,NRU,Oceania
Nepal,16957668.0,111000000000.0,29225196,NPL,Asia
Netherlands,138100074.0,947000000000.0,17141544,NLD,Europe
New Caledonia,8692686.0,,285972,NCL,Oceania
New Zealand,33475158.0,217000000000.0,4829021,NZL,Oceania
Nicaragua,5073650.0,34978304000.0,6638075,NIC,North America
Niger,1690423.0,29562836992.0,24346468,NER,Africa
Nigeria,125462961.0,1010000000000.0,206984347,NGA,Africa
Niue,11346.0,,1628,NIU,Oceania
Norway,41283000.0,342000000000.0,5428594,NOR,Europe
Oman,62162570.0,151000000000.0,5128058,OMN,Asia
Pakistan,234754740.0,1010000000000.0,221612785,PAK,Asia
Palau,219358.0,279942080.0,18109,PLW,Oceania
Panama,10779522.0,110000000000.0,4326296,PAN,North America
Papua New Guinea,6652121.0,36358320128.0,8975531,PNG,Oceania
Paraguay,7569706.0,88369102848.0,7147553,PRY,South America
Peru,44706055.0,371000000000.0,33050211,PER,South America
Philippines,136017950.0,872000000000.0,109830324,PHL,Asia
Poland,299592767.0,1230000000000.0,37839255,POL,Europe
Portugal,40387817.0,329000000000.0,10191409,PRT,Europe
Puerto Rico,,107000000000.0,2846860,PRI,North America
Qatar,106654967.0,246000000000.0,2889284,QAT,Asia
Romania,71475046.0,556000000000.0,19214608,ROU,Europe
Rwanda,1032737.0,27182936064.0,13005303,RWA,Africa
Saint Lucia,439905.0,2212532480.0,183774,LCA,North America
Samoa,245833.0,1273153024.0,198643,WSM,Oceania
Saudi Arabia,625507882.0,1540000000000.0,34905942,SAU,Asia
Senegal,10451209.0,55601160192.0,16816539,SEN,Africa
Serbia,43135397.0,126000000000.0,8731081,SRB,Europe
Seychelles,491067.0,2405201408.0,98453,SYC,Africa
Sierra Leone,877190.0,13060690944.0,8004158,SLE,Africa
Singapore,45503904.0,531000000000.0,5858322,SGP,Asia
Slovakia,30730385.0,167000000000.0,5460109,SVK,Europe
Slovenia,12562986.0,77895778304.0,2078989,SVN,Europe
Solomon Islands,298781.0,1705430144.0,689671,SLB,Oceania
Somalia,562143.0,18769350656.0,15965848,SOM,Africa
South Africa,451957087.0,751000000000.0,59436725,ZAF,Africa
South Sudan,1179207.0,,11216250,SSD,Africa
Spain,208914968.0,1720000000000.0,46757980,ESP,Europe
Sri Lanka,21106254.0,275000000000.0,21428970,LKA,Asia
Sudan,18859244.0,172000000000.0,44019263,SDN,Africa
Suriname,2224178.0,9306685440.0,587541,SUR,South America
Sweden,38634794.0,527000000000.0,10110233,SWE,Europe
Switzerland,32298333.0,594000000000.0,8665615,CHE,Europe
Tajikistan,9447656.0,34884628480.0,9573310,TJK,Asia
Thailand,257765782.0,1210000000000.0,69830779,THA,Asia
Togo,2191571.0,17450565632.0,8310934,TGO,Africa
Tonga,143718.0,670858816.0,105901,TON,Oceania
Trinidad and Tobago,35509414.0,33199394816.0,1400283,TTO,North America
Tunisia,28126702.0,121000000000.0,11839918,TUN,Africa
Turkey,392794051.0,2390000000000.0,84495243,TUR,Asia
Turkmenistan,75337709.0,,6046292,TKM,Asia
Tuvalu,7564.0,52014548.0,11817,TUV,Oceania
Uganda,4892203.0,99488096256.0,45974931,UGA,Africa
Ukraine,213908873.0,517000000000.0,43686577,UKR,Europe
