Entity,Code,Year,Other,Flaring,Cement, Gas,Oil , Coal
Afghanistan,AFG,2020,0,0,60674,314185,4277487,7507941
Africa,,2020,0,44458976,77025199,287016466,471445864,446097038
Albania,ALB,2020,0,0,780432,153164,3139714,461364
Algeria,DZA,2020,0,5598592,10749352,88218526,49330383,1098606
Andorra,AND,2020,0,0,0,0,466294,0
Angola,AGO,2020,0,7866608,1937465,1313899,11080189,0
Anguilla,AIA,2020,0,0,0,0,123426,0
Antarctica,ATA,2020,0,0,0,0,0,0
Antigua and Barbuda,ATG,2020,0,0,0,0,430410,0
Argentina,ARG,2020,0,1846656,3649106,86702093,61964604,2815605
Armenia,ARM,2020,0,0,315130,4872736,698067,4359
Aruba,ABW,2020,0,0,0,0,753218,0
Asia,,2020,200350998,141587510,1315196594,2954286834,4566480146,11139156291
Asia (excl. China & India),,2020,28812115,139909398,334055779,2222049184,2352048777,2130503354
Australia,AUS,2020,3894876,20341170,3024613,80208272,124605623,159817374
Austria,AUT,2020,1162217,118252,1770523,17036859,30341831,10205193
Azerbaijan,AZE,2020,0,2667392,1082954,23405295,10561157,3664
Bahamas,BHS,2020,0,0,0,0,2329279,8405
Bahrain,BHR,2020,0,0,523892,30829802,3606381,0
Bangladesh,BGD,2020,0,0,1460656,59226386,17403942,14750640
Barbados,BRB,2020,0,0,70568,54082,962093,0
Belarus,BLR,2020,992174,1512,2267050,34006133,16799598,3378951
Belgium,BEL,2020,1862634,116104,2819306,35469635,32579576,10901707
Belize,BLZ,2020,0,0,0,7166,575629,0
Benin,BEN,2020,0,0,212425,39623,6450718,0
Bermuda,BMU,2020,0,0,0,0,607638,16810
Bhutan,BTN,2020,0,0,358716,0,601344,965307
Bolivia,BOL,2020,0,153888,1439258,7690158,11402121,14597
Bonaire Sint Eustatius and Saba,BES,2020,0,0,0,0,300654,0
Bosnia and Herzegovina,BIH,2020,0,0,380556,463227,4372802,16201375
Botswana,BWA,2020,0,0,6200,0,2774605,3738129
Brazil,BRA,2020,6392000,17505000,22198082,60330589,305511831,55445998
British Virgin Islands,VGB,2020,0,0,0,0,139250,0
Brunei,BRN,2020,0,663184,0,7528649,1966661,0
Bulgaria,BGR,2020,1198143,826916,1127100,5405136,12124673,16762141
Burkina Faso,BFA,2020,0,0,120123,0,3849513,0
Burundi,BDI,2020,0,0,27125,0,558912,16144
Cambodia,KHM,2020,0,0,3315573,0,7469528,4540516
Cameroon,CMR,2020,0,0,1123730,1215132,4550456,0
Canada,CAN,2020,2094192,15947371,7176731,219132482,246354656,45117556
Cape Verde,CPV,2020,0,0,0,0,549930,0
Central African Republic,CAF,2020,0,0,0,0,187906,0
Chad,TCD,2020,0,0,135623,0,776678,0
Chile,CHL,2020,0,29312,782200,10840109,43438319,26081550
China,CHN,2020,171538883,0,858232613,605253501,1611761686,7421100770
Christmas Island,CXR,2020,0,0,0,0,0,0
Colombia,COL,2020,0,959968,5305976,24716410,36440784,21681803
Comoros,COM,2020,0,0,0,0,258456,0
Congo,COG,2020,0,0,449492,966719,1700549,0
Cook Islands,COK,2020,0,0,0,0,79423,0
Costa Rica,CRI,2020,0,0,736598,0,7170791,0
Cote d'Ivoire,CIV,2020,0,0,0,4247544,5823190,0
Croatia,HRV,2020,144209,203658,1184111,5435624,8624301,1390108
Cuba,CUB,2020,0,0,716110,2113352,17289198,33620
Curacao,CUW,2020,0,0,0,116484,3218582,0
Cyprus,CYP,2020,25176,0,789212,223,5624793,56757
Czechia,CZE,2020,1301816,81309,1977237,17647551,20123272,46843521
Democratic Republic of Congo,COD,2020,0,0,714150,0,1763184,0
Denmark,DNK,2020,328252,194669,1129199,4821731,16638495,3082566
Djibouti,DJI,2020,0,0,73624,0,277841,0
Dominica,DMA,2020,0,0,0,0,139250,0
Dominican Republic,DOM,2020,0,0,2046968,2479445,15703642,7539255
Ecuador,ECU,2020,0,1245760,2287041,1083022,26315940,0
Egypt,EGY,2020,0,0,18134636,99612723,95330402,378985
El Salvador,SLV,2020,0,0,387683,0,5731719,4314
Equatorial Guinea,GNQ,2020,0,5818432,0,3516701,930135,0
Eritrea,ERI,2020,0,0,108498,0,613834,0
Estonia,EST,2020,79203,31,295485,833634,3117693,6126367
Eswatini,SWZ,2020,0,0,0,0,825445,130331
Ethiopia,ETH,2020,0,0,3603685,0,9608116,1452972
Europe,,2020,60967273,76214274,110112290,1781935140,1770029228,1146776274
Europe (excl. EU-27),,2020,24314343,55495655,36795681,1029194413,652703730,548955406
Europe (excl. EU-28),,2020,21006252,50991252,32347182,872369149,514857554,526308928
European Union (27),,2020,36652930,20718619,73316609,752740727,1117325498,597820868
European Union (28),,2020,39961021,25223022,77765108,909565991,1255171674,620467346
Faeroe Islands,FRO,2020,0,0,0,0,683898,0
Fiji,FJI,2020,0,0,54571,0,1338842,0
Finland,FIN,2020,585986,65189,583481,4147664,20211944,13693366
France,FRA,2020,4018853,2529493,6585462,80911084,161334743,21254257
French Equatorial Africa,,2020,0,0,0,0,0,0
French Guiana,GUF,2020,0,0,0,0,728379,0
French Polynesia,PYF,2020,0,0,0,0,828267,0
French West Africa,,2020,0,0,0,0,0,0
Gabon,GAB,2020,0,1626816,189872,718305,1763184,0
Gambia,GMB,2020,0,0,0,3962,495950,0
Georgia,GEO,2020,0,0,798333,4770495,3222610,1176656
Germany,DEU,2020,8514916,2017377,13286640,170732906,250681445,199077067
Ghana,GHA,2020,0,399376,1549972,3249054,10802928,0
Greece,GRC,2020,571265,9042,3360215,11001154,27834004,9459461
Greenland,GRL,2020,0,0,0,0,514413,0
Grenada,GRD,2020,0,0,0,0,294834,0
Guadeloupe,GLP,2020,0,0,0,0,2093042,468841
Guatemala,GTM,2020,0,0,1473197,0,12025027,5439685
Guinea,GIN,2020,0,0,0,0,3394049,0
Guinea-Bissau,GNB,2020,0,0,0,0,286774,0
Guyana,GUY,2020,0,0,161670,0,2051021,0
Haiti,HTI,2020,0,0,77537,0,2841973,0
High-income countries,,2020,87612507,155744938,225113563,3929712686,4823552663,2607079506
Honduras,HND,2020,0,0,765402,0,8894167,0
Hong Kong,HKG,2020,0,0,763225,9930394,7756081,12789088
Hungary,HUN,2020,543644,134290,1022863,20497683,18419549,7657422
Iceland,ISL,2020,6602,163106,0,227,2081028,685027
India,IND,2020,0,1678112,122908202,126984149,602669683,1587552167
Indonesia,IDN,2020,0,11090928,33803710,78477708,165610156,300517866
International transport,,2020,0,0,0,0,1004232513,0
Iran,IRN,2020,0,60225168,23877199,434226970,221591780,5113991
Iraq,IRQ,2020,0,32316480,3492613,43427542,131592511,0
Ireland,IRL,2020,508972,276,1892599,10815233,16786844,3344774
Israel,ISR,2020,0,0,1775491,19406664,19763108,15405597
Italy,ITA,2020,3054815,2756726,7911519,139950502,127437789,22703943
Jamaica,JAM,2020,0,0,380366,212167,6307408,529513
Japan,JPN,2020,8102052,393235,25376205,216543705,377381559,402978629
